president,term,start_date,end_date,approving,disapproving,unsure_no_data,democrats_approving,independents_approving,republicans_approving,poll_source,source_url
Barack Obama,1st term,04/04/2011,04/10/2011,45,46,9,80,39,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/28/2011,04/03/2011,48,44,8,80,43,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/21/2011,03/27/2011,45,47,8,79,41,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/14/2011,03/20/2011,48,44,8,81,43,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/07/2011,03/13/2011,47,45,8,79,44,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/28/2011,03/06/2011,46,46,8,79,43,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/21/2011,02/27/2011,48,44,8,82,45,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/14/2011,02/20/2011,48,43,9,83,43,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/07/2011,02/13/2011,48,43,9,81,45,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/31/2011,02/06/2011,47,45,8,83,42,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/24/2011,01/30/2011,50,42,8,84,45,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/17/2011,01/23/2011,50,42,8,84,49,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/10/2011,01/16/2011,49,42,9,83,46,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/03/2011,01/09/2011,48,45,7,82,46,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/27/2010,01/02/2011,48,44,8,81,45,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/20/2010,12/26/2010,47,46,7,85,45,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/13/2010,12/19/2010,46,46,8,79,41,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/06/2010,12/12/2010,45,48,7,80,41,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/29/2010,12/05/2010,46,46,8,78,42,10,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/22/2010,11/28/2010,45,47,8,81,41,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/15/2010,11/21/2010,46,46,8,81,42,9,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/08/2010,11/14/2010,44,48,8,80,41,8,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/01/2010,11/07/2010,45,47,8,81,42,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/25/2010,10/31/2010,45,48,7,81,41,9,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/18/2010,10/24/2010,44,48,8,83,41,9,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/11/2010,10/17/2010,45,47,8,81,40,8,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/04/2010,10/10/2010,46,48,6,80,40,7,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/27/2010,10/03/2010,46,47,7,82,41,10,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/20/2010,09/26/2010,44,48,8,81,39,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/13/2010,09/19/2010,46,47,7,77,39,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/06/2010,09/12/2010,46,46,8,80,40,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/30/2010,09/05/2010,45,47,8,81,43,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/23/2010,08/29/2010,43,49,8,79,39,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/16/2010,08/22/2010,43,50,7,78,40,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/09/2010,08/15/2010,44,48,8,76,39,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/02/2010,08/08/2010,45,48,7,80,39,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/26/2010,08/01/2010,45,47,8,80,42,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/19/2010,07/25/2010,45,47,8,82,43,10,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/12/2010,07/18/2010,46,46,8,79,40,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/05/2010,07/11/2010,46,47,7,81,39,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/28/2010,07/04/2010,46,45,9,81,38,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/21/2010,06/27/2010,45,46,9,81,38,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/14/2010,06/20/2010,47,45,8,78,43,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/07/2010,06/13/2010,46,46,8,82,43,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/31/2010,06/06/2010,47,45,8,79,44,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/24/2010,05/30/2010,46,46,8,79,44,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/17/2010,05/23/2010,48,45,7,81,41,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/10/2010,05/16/2010,49,43,8,84,42,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/03/2010,05/09/2010,50,43,7,82,47,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/26/2010,05/02/2010,48,45,7,82,47,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/19/2010,04/25/2010,50,43,7,84,42,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/12/2010,04/18/2010,48,45,7,82,48,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/05/2010,04/11/2010,47,46,7,86,45,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/29/2010,04/04/2010,49,44,7,83,43,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/22/2010,03/28/2010,49,44,7,82,48,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/15/2010,03/21/2010,48,45,7,84,44,11,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/08/2010,03/14/2010,48,45,7,81,43,13,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/01/2010,03/07/2010,49,44,7,83,44,12,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/22/2010,02/28/2010,50,43,7,82,44,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/15/2010,02/21/2010,49,43,8,83,44,17,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/08/2010,02/14/2010,51,42,7,83,45,17,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/01/2010,02/07/2010,50,43,7,83,47,19,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/25/2010,01/31/2010,48,45,7,83,46,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/18/2010,01/24/2010,49,46,5,83,44,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/11/2010,01/17/2010,50,43,7,83,45,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/04/2010,01/10/2010,51,43,6,82,45,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/28/2009,01/03/2010,51,43,6,84,45,15,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/21/2009,12/27/2009,51,43,6,85,47,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/14/2009,12/20/2009,50,43,7,86,48,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,12/07/2009,12/13/2009,49,42,9,84,45,17,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/30/2009,12/06/2009,50,44,6,81,46,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/23/2009,11/29/2009,50,42,8,82,46,17,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/16/2009,11/22/2009,49,44,7,82,44,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/09/2009,11/15/2009,53,39,8,82,44,14,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,11/02/2009,11/08/2009,52,42,6,88,48,17,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/26/2009,11/01/2009,53,41,6,84,50,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/19/2009,10/25/2009,53,39,8,87,50,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/12/2009,10/18/2009,52,41,7,87,46,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,10/05/2009,10/11/2009,54,38,8,84,48,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/28/2009,10/04/2009,52,40,8,83,54,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/21/2009,09/27/2009,51,41,8,87,46,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/14/2009,09/20/2009,52,41,7,88,43,19,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,09/07/2009,09/13/2009,52,41,7,84,48,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/31/2009,09/06/2009,53,40,7,86,46,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/24/2009,08/30/2009,50,43,7,86,47,18,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/17/2009,08/23/2009,52,41,7,84,48,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/10/2009,08/16/2009,54,40,6,86,49,16,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,08/03/2009,08/09/2009,56,37,7,86,46,20,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/27/2009,08/02/2009,54,39,7,90,52,17,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/20/2009,07/26/2009,56,38,6,87,47,20,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/13/2009,07/19/2009,59,33,8,88,51,21,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,07/06/2009,07/12/2009,58,34,8,92,56,23,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/29/2009,07/05/2009,60,32,8,90,56,20,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/22/2009,06/28/2009,60,33,7,90,54,25,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/15/2009,06/21/2009,59,34,7,88,60,25,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/08/2009,06/14/2009,61,31,8,90,55,23,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,06/01/2009,06/07/2009,62,31,7,89,59,25,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/25/2009,05/31/2009,63,30,7,91,60,26,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/18/2009,05/24/2009,64,28,8,90,62,29,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/11/2009,05/17/2009,64,29,7,91,61,25,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,05/04/2009,05/10/2009,66,27,7,91,66,31,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/27/2009,05/03/2009,65,29,6,93,61,31,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/20/2009,04/26/2009,65,29,6,92,64,28,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/13/2009,04/19/2009,62,29,9,91,58,28,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,04/06/2009,04/12/2009,61,28,11,89,60,25,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/30/2009,04/05/2009,62,28,10,90,60,27,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/23/2009,03/29/2009,61,29,10,92,57,28,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/16/2009,03/22/2009,63,26,11,90,62,27,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/09/2009,03/15/2009,62,28,10,91,59,26,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,03/02/2009,03/08/2009,62,27,11,90,60,27,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/23/2009,03/01/2009,64,23,13,88,60,35,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/16/2009,02/22/2009,62,25,13,89,59,28,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/09/2009,02/15/2009,64,22,14,89,63,30,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,02/02/2009,02/08/2009,65,21,14,89,63,34,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/26/2009,02/01/2009,66,18,16,88,62,38,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
Barack Obama,1st term,01/19/2009,01/25/2009,67,13,20,88,62,41,,https://www.presidency.ucsb.edu/statistics/data/barack-obama-public-approval
George W. Bush,1st term,01/09/2009,01/11/2009,34,61,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,12/12/2008,12/14/2008,29,67,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,12/04/2008,12/07/2008,32,61,7,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,11/13/2008,11/16/2008,29,66,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,11/07/2008,11/09/2008,28,68,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/31/2008,11/02/2008,25,70,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/23/2008,10/26/2008,31,66,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/10/2008,10/12/2008,25,71,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/03/2008,10/05/2008,25,70,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,09/26/2008,09/27/2008,27,69,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,09/08/2008,09/11/2008,31,65,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,09/05/2008,09/07/2008,33,64,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,08/21/2008,08/23/2008,29,66,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,08/07/2008,08/10/2008,33,61,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,07/25/2008,07/27/2008,32,65,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,07/10/2008,07/13/2008,31,61,8,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,06/15/2008,06/19/2008,28,68,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,06/09/2008,06/12/2008,30,64,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,05/30/2008,06/01/2008,28,68,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,05/08/2008,05/11/2008,29,65,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,05/01/2008,05/03/2008,28,67,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,04/18/2008,04/20/2008,28,69,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,04/06/2008,04/09/2008,28,67,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,03/14/2008,03/16/2008,32,64,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,03/06/2008,03/09/2008,32,64,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,02/21/2008,02/24/2008,32,62,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,02/11/2008,02/14/2008,31,65,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,02/08/2008,02/10/2008,33,61,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,01/30/2008,02/02/2008,34,61,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,1/10/2008,1/13/2008,34,60,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,01/04/2008,01/06/2008,32,64,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,12/14/2007,12/16/2007,32,65,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,12/6/2007,12/9/2007,37,57,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,11/30/2007,12/02/2007,34,62,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,11/11/2007,11/14/2007,32,61,7,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,11/02/2007,11/04/2007,31,64,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/12/2007,10/14/2007,32,64,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/04/2007,10/07/2007,32,64,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,09/14/2007,09/16/2007,36,62,2,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,09/07/2007,09/08/2007,33,62,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,08/13/2007,08/16/2007,32,63,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,08/03/2007,08/05/2007,34,62,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,07/12/2007,07/15/2007,31,63,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,07/06/2007,07/08/2007,29,66,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,06/11/2007,06/14/2007,32,65,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,06/01/2007,06/03/2007,32,62,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,05/10/2007,05/13/2007,33,62,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,05/04/2007,05/06/2007,34,63,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,04/13/2007,04/15/2007,36,60,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,04/02/2007,04/05/2007,38,58,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,03/23/2007,03/25/2007,34,62,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,03/11/2007,03/14/2007,35,61,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,03/02/2007,03/04/2007,33,63,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,02/09/2007,02/11/2007,37,59,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,02/01/2007,02/04/2007,32,65,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,1/15/2007,1/18/2007,36,61,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,01/12/2007,1/14/2007,34,63,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,01/05/2007,1/7/2007,37,59,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,12/11/2006,12/14/2006,35,61,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,12/8/2006,12/10/2006,38,59,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,11/09/2006,11/12/2006,37,62,1,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,11/02/2006,11/05/2006,38,56,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/20/2006,10/22/2006,37,58,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/09/2006,10/12/2006,37,57,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,10/06/2006,10/08/2006,37,59,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,09/15/2006,09/17/2006,44,51,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,09/07/2006,09/10/2006,39,56,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,08/18/2006,08/20/2006,42,54,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,08/07/2006,08/10/2006,37,59,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,07/28/2006,07/30/2006,40,56,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,07/21/2006,07/23/2006,37,59,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,07/06/2006,07/09/2006,40,55,5,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,06/23/2006,06/25/2006,37,60,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,06/09/2006,06/11/2006,38,56,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,06/01/2006,06/04/2006,36,57,7,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,05/08/2006,05/11/2006,33,61,6,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,05/05/2006,05/07/2006,31,61,8,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,04/28/2006,04/30/2006,34,65,1,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,04/10/2006,04/13/2006,36,63,1,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,04/07/2006,04/09/2006,37,60,3,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,03/13/2006,03/16/2006,37,59,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1st term,03/10/2006,03/12/2006,36,60,4,,,,,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
